Load environment configuration
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/plugins?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 23693 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/pages/643f284afbcecc56f0478b56 HTTP/1.1" 200 7084 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/plugins/643ebbae180a343b72610023/form HTTP/1.1" 200 1956 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/plugins/643ebba8180a343b72610002/form HTTP/1.1" 200 1033 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026 HTTP/1.1" 200 521 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/plugins/default/icons HTTP/1.1" 200 761 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:18 +0000] "GET /api/v1/app-templates/filters HTTP/1.1" 200 958 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2023:02:07:24 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.22.0.1 - - [19/Apr/2023:02:07:28 +0000] "GET /api/v1/git/status/app/643f2841fbcecc56f0478b4b?branchName=master HTTP/1.1" 200 296 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:29 +0000] "GET /api/v1/git/branch/app/643f2841fbcecc56f0478b4b? HTTP/1.1" 200 158 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:31 +0000] "GET /app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54?branch=master HTTP/1.1" 200 1860 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:32 +0000] "GET /api/v1/users/features HTTP/1.1" 200 254 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.22.0.1 - - [19/Apr/2023:02:07:32 +0000] "GET /api/v1/tenants/current HTTP/1.1" 200 166 "http://localhost:8080/app/healthheroappsmith-2/welcome-page-643f284afbcecc56f0478b54?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
